C_CUSTOMER_SK,C_CUSTOMER_ID,C_CURRENT_CDEMO_SK,C_CURRENT_HDEMO_SK,C_CURRENT_ADDR_SK,C_FIRST_SHIPTO_DATE_SK,C_FIRST_SALES_DATE_SK,C_SALUTATION,C_FIRST_NAME,C_LAST_NAME,C_PREFERRED_CUST_FLAG,C_BIRTH_DAY,C_BIRTH_MONTH,C_BIRTH_YEAR,C_BIRTH_COUNTRY,C_LOGIN,C_EMAIL_ADDRESS,C_LAST_REVIEW_DATE
62395897,AAAAAAAAJPFBILDA,948532,5654,20543129,2449085,2449055,Ms.,Anthony,Bauer,N,27,10,1992,PUERTO RICO,,Anthony.Bauer@kqJl4LjQOD.edu,2452437
62437535,AAAAAAAAPJILILDA,1759870,4343,11994863,2451817,2451787,Dr.,Edwin,Peterson,N,17,7,1938,ERITREA,,Edwin.Peterson@nJT.org,2452613
62448407,AAAAAAAAHBDOILDA,1518198,2795,1757792,2450979,2450949,Miss,Mildred,Wyatt,N,23,1,1934,BAHRAIN,,Mildred.Wyatt@J9QUda9SI.org,2452299
62506126,AAAAAAAAOIEMJLDA,1793024,5015,2723759,2451499,2451469,Sir,Oscar,Trevino,N,29,3,1972,THAILAND,,Oscar.Trevino@77cpzmSdTqRJzS.org,2452562
26492078,AAAAAAAAOKMDEJBA,870407,2741,20959428,2449165,2449135,Sir,Loren,Salmon,N,1,8,1972,BAHAMAS,,Loren.Salmon@z1vvX1cl.com,2452480
26585656,AAAAAAAAIDKKFJBA,1814482,3850,26014818,2452338,2452308,Sir,Robert,Gonzalez,Y,27,6,1965,CÔTE D'IVOIRE,,Robert.Gonzalez@2Z9r.edu,2452414
24218258,AAAAAAAACJKIBHBA,971477,1280,26808683,2451257,2451227,Mrs.,Sanora,Johnson,Y,23,7,1958,BHUTAN,,Sanora.Johnson@Ln4IeB5.com,2452561
24295501,AAAAAAAANEILCHBA,,,25402719,2451406,2451376,Dr.,,Smith,,4,,,ALAND ISLANDS,,Grover.Smith@5ZcKymE7V.com,2452320
1672275,AAAAAAAADFEIJBAA,646041,1927,24667060,2450955,2450925,Dr.,,,N,,,1925,,,,
1693625,AAAAAAAAJLHNJBAA,753235,1241,1701600,2449177,2449147,Dr.,Casey,Walker,N,2,5,1964,BANGLADESH,,Casey.Walker@tzHp3ZQyTlsnGq.edu,2452531
1693625,AAAAAAAAJLHNJBAA,753235,1241,1701600,2449177,2449147,Dr.,Casey,Walker,N,2,5,1964,BANGLADESH,,Casey.Walker@tzHp3ZQyTlsnGq.edu,2452531
1693625,AAAAAAAAJLHNJBAA,753235,1241,1701600,2449177,2449147,Dr.,Casey,Walker,N,2,5,1964,BANGLADESH,,Casey.Walker@tzHp3ZQyTlsnGq.edu,2452531
1835563,AAAAAAAALCCAMBAA,1496445,4382,25266719,2450654,2450624,Dr.,Oscar,Cromer,N,23,1,1975,SAUDI ARABIA,,Oscar.Cromer@XlKutGfjS.com,2452482
1864579,AAAAAAAADIDHMBAA,1592062,4166,7086317,2449139,2449109,Dr.,Chase,Farley,Y,6,4,1927,ZAMBIA,,Chase.Farley@DvErSHqnLCQJ8L.org,2452455
